# pdferr
# Thu Aug 28 23:39:22 2025
# columns: x,xg,xd,xc,xb,xDg,xDd,xDc,xDb
#      x          xg          xd          xc          xb         xDg         xDd         xDc         xDb
#      1           2           3           4           5           6           7           8           9
#$QQ= 1.0000e+01
  2.0058e-01  2.8349e-01  1.8192e-02  5.4027e-03  0.0000e+00  1.5951e-02  1.2635e-03  3.2046e-04  0.0000e+00
  2.0309e-01  2.8196e-01  1.8283e-02  5.3585e-03  0.0000e+00  1.5872e-02  1.2692e-03  3.1848e-04  0.0000e+00
  2.0559e-01  2.8046e-01  1.8374e-02  5.3150e-03  0.0000e+00  1.5795e-02  1.2750e-03  3.1654e-04  0.0000e+00
  2.0810e-01  2.7899e-01  1.8465e-02  5.2722e-03  0.0000e+00  1.5719e-02  1.2808e-03  3.1462e-04  0.0000e+00
  2.1061e-01  2.7753e-01  1.8557e-02  5.2299e-03  0.0000e+00  1.5645e-02  1.2866e-03  3.1275e-04  0.0000e+00
  2.1311e-01  2.7610e-01  1.8649e-02  5.1883e-03  0.0000e+00  1.5573e-02  1.2924e-03  3.1090e-04  0.0000e+00
  2.1562e-01  2.7468e-01  1.8740e-02  5.1473e-03  0.0000e+00  1.5502e-02  1.2981e-03  3.0909e-04  0.0000e+00
  2.1812e-01  2.7329e-01  1.8832e-02  5.1069e-03  0.0000e+00  1.5432e-02  1.3039e-03  3.0731e-04  0.0000e+00
  2.2063e-01  2.7192e-01  1.8924e-02  5.0670e-03  0.0000e+00  1.5364e-02  1.3097e-03  3.0555e-04  0.0000e+00
  2.2314e-01  2.7056e-01  1.9017e-02  5.0277e-03  0.0000e+00  1.5297e-02  1.3154e-03  3.0383e-04  0.0000e+00
  2.2564e-01  2.6923e-01  1.9109e-02  4.9889e-03  0.0000e+00  1.5232e-02  1.3211e-03  3.0213e-04  0.0000e+00
  2.2815e-01  2.6791e-01  1.9201e-02  4.9507e-03  0.0000e+00  1.5168e-02  1.3269e-03  3.0046e-04  0.0000e+00
  2.3065e-01  2.6661e-01  1.9293e-02  4.9129e-03  0.0000e+00  1.5105e-02  1.3326e-03  2.9881e-04  0.0000e+00
